File Name,File Path,Sheets
08_DATA_Cleaned_KZ_Fanta_Regular (3).xlsx,C:\Legacy Files\all_files\For TCS\Ipsos Fenix Raw Data\Monadic\08_DATA_Cleaned_KZ_Fanta_Regular (3).xlsx,N/A
08_DATA_Cleaned_KZ_Sprite_Regular.xlsx,C:\Legacy Files\all_files\For TCS\Ipsos Fenix Raw Data\Monadic\08_DATA_Cleaned_KZ_Sprite_Regular.xlsx,N/A
08_DATA_Cleaned_MO_Fanta_Regular.xlsx,C:\Legacy Files\all_files\For TCS\Ipsos Fenix Raw Data\Monadic\08_DATA_Cleaned_MO_Fanta_Regular.xlsx,N/A
08_DATA_Cleaned_MX_Fanta_Regular.xlsx,C:\Legacy Files\all_files\For TCS\Ipsos Fenix Raw Data\Monadic\08_DATA_Cleaned_MX_Fanta_Regular.xlsx,N/A
08_DATA_Cleaned_MX_Fanta_Zero.xlsx,C:\Legacy Files\all_files\For TCS\Ipsos Fenix Raw Data\Monadic\08_DATA_Cleaned_MX_Fanta_Zero.xlsx,N/A
08_DATA_Cleaned_MX_Sprite Regular v2.xlsx,C:\Legacy Files\all_files\For TCS\Ipsos Fenix Raw Data\Monadic\08_DATA_Cleaned_MX_Sprite Regular v2.xlsx,N/A
08_DATA_Cleaned_MX_Sprite_Zero.xlsx,C:\Legacy Files\all_files\For TCS\Ipsos Fenix Raw Data\Monadic\08_DATA_Cleaned_MX_Sprite_Zero.xlsx,N/A
08_DATA_Cleaned_Nigeria_Fanta_Regular.xlsx,C:\Legacy Files\all_files\For TCS\Ipsos Fenix Raw Data\Monadic\08_DATA_Cleaned_Nigeria_Fanta_Regular.xlsx,N/A
08_DATA_Cleaned_Nigeria_Fanta_Zero.xlsx,C:\Legacy Files\all_files\For TCS\Ipsos Fenix Raw Data\Monadic\08_DATA_Cleaned_Nigeria_Fanta_Zero.xlsx,N/A
08_DATA_Cleaned_Nigeria_Sprite_Regular (1).xlsx,C:\Legacy Files\all_files\For TCS\Ipsos Fenix Raw Data\Monadic\08_DATA_Cleaned_Nigeria_Sprite_Regular (1).xlsx,N/A
08_DATA_Cleaned_Nigeria_Sprite_Zero.xlsx,C:\Legacy Files\all_files\For TCS\Ipsos Fenix Raw Data\Monadic\08_DATA_Cleaned_Nigeria_Sprite_Zero.xlsx,N/A
08_DATA_Cleaned_Pakistan_Fanta_Regular.xlsx,C:\Legacy Files\all_files\For TCS\Ipsos Fenix Raw Data\Monadic\08_DATA_Cleaned_Pakistan_Fanta_Regular.xlsx,N/A
08_DATA_Cleaned_Pakistan_Sprite_Regular.xlsx,C:\Legacy Files\all_files\For TCS\Ipsos Fenix Raw Data\Monadic\08_DATA_Cleaned_Pakistan_Sprite_Regular.xlsx,N/A
08_DATA_Cleaned_PH_Fanta_Regular_v2.xlsx,C:\Legacy Files\all_files\For TCS\Ipsos Fenix Raw Data\Monadic\08_DATA_Cleaned_PH_Fanta_Regular_v2.xlsx,N/A
08_DATA_Cleaned_PH_Sprite_Regular.xlsx,C:\Legacy Files\all_files\For TCS\Ipsos Fenix Raw Data\Monadic\08_DATA_Cleaned_PH_Sprite_Regular.xlsx,N/A
08_DATA_Cleaned_Poland_Sprite Regular.xlsx,C:\Legacy Files\all_files\For TCS\Ipsos Fenix Raw Data\Monadic\08_DATA_Cleaned_Poland_Sprite Regular.xlsx,N/A
08_DATA_Cleaned_Romania_Fanta Regular.xlsx,C:\Legacy Files\all_files\For TCS\Ipsos Fenix Raw Data\Monadic\08_DATA_Cleaned_Romania_Fanta Regular.xlsx,N/A
08_DATA_Cleaned_Romania_Fanta Zero.xlsx,C:\Legacy Files\all_files\For TCS\Ipsos Fenix Raw Data\Monadic\08_DATA_Cleaned_Romania_Fanta Zero.xlsx,N/A
08_DATA_Cleaned_Romania_Sprite Regular Extra Cell.xlsx,C:\Legacy Files\all_files\For TCS\Ipsos Fenix Raw Data\Monadic\08_DATA_Cleaned_Romania_Sprite Regular Extra Cell.xlsx,N/A
08_DATA_Cleaned_Romania_Sprite Regular.xlsx,C:\Legacy Files\all_files\For TCS\Ipsos Fenix Raw Data\Monadic\08_DATA_Cleaned_Romania_Sprite Regular.xlsx,N/A
08_DATA_Cleaned_Romania_Sprite Zero.xlsx,C:\Legacy Files\all_files\For TCS\Ipsos Fenix Raw Data\Monadic\08_DATA_Cleaned_Romania_Sprite Zero.xlsx,N/A
08_DATA_Cleaned_RQ_Fanta_Regular_v3.xlsx,C:\Legacy Files\all_files\For TCS\Ipsos Fenix Raw Data\Monadic\08_DATA_Cleaned_RQ_Fanta_Regular_v3.xlsx,N/A
08_DATA_Cleaned_SA_Fanta Regular.xlsx,C:\Legacy Files\all_files\For TCS\Ipsos Fenix Raw Data\Monadic\08_DATA_Cleaned_SA_Fanta Regular.xlsx,N/A
08_DATA_Cleaned_SA_Fanta Zero.xlsx,C:\Legacy Files\all_files\For TCS\Ipsos Fenix Raw Data\Monadic\08_DATA_Cleaned_SA_Fanta Zero.xlsx,N/A
08_DATA_Cleaned_SA_Sprite Regular_v4 - Copy.xlsx,C:\Legacy Files\all_files\For TCS\Ipsos Fenix Raw Data\Monadic\08_DATA_Cleaned_SA_Sprite Regular_v4 - Copy.xlsx,N/A
08_DATA_Cleaned_SA_Sprite Regular_v4.xlsx,C:\Legacy Files\all_files\For TCS\Ipsos Fenix Raw Data\Monadic\08_DATA_Cleaned_SA_Sprite Regular_v4.xlsx,N/A
08_DATA_Cleaned_SA_Sprite Zero_v2 with CATUSE1_Type 040422.xlsx,C:\Legacy Files\all_files\For TCS\Ipsos Fenix Raw Data\Monadic\08_DATA_Cleaned_SA_Sprite Zero_v2 with CATUSE1_Type 040422.xlsx,N/A
08_DATA_Cleaned_SP_Fanta Regular.xlsx,C:\Legacy Files\all_files\For TCS\Ipsos Fenix Raw Data\Monadic\08_DATA_Cleaned_SP_Fanta Regular.xlsx,N/A
08_DATA_Cleaned_SP_Fanta Zero.xlsx,C:\Legacy Files\all_files\For TCS\Ipsos Fenix Raw Data\Monadic\08_DATA_Cleaned_SP_Fanta Zero.xlsx,N/A
08_DATA_Cleaned_SP_Sprite Regular.xlsx,C:\Legacy Files\all_files\For TCS\Ipsos Fenix Raw Data\Monadic\08_DATA_Cleaned_SP_Sprite Regular.xlsx,N/A
08_DATA_Cleaned_SP_Sprite_zero V02 08-12-22.xlsx,C:\Legacy Files\all_files\For TCS\Ipsos Fenix Raw Data\Monadic\08_DATA_Cleaned_SP_Sprite_zero V02 08-12-22.xlsx,N/A
08_DATA_Cleaned_Thailand_Fanta Regular_v2.xlsx,C:\Legacy Files\all_files\For TCS\Ipsos Fenix Raw Data\Monadic\08_DATA_Cleaned_Thailand_Fanta Regular_v2.xlsx,N/A
08_DATA_Cleaned_Thai_Fanta Zero_V2.xlsx,C:\Legacy Files\all_files\For TCS\Ipsos Fenix Raw Data\Monadic\08_DATA_Cleaned_Thai_Fanta Zero_V2.xlsx,N/A
08_DATA_Cleaned_Thai_Sprite Regular_Blind_v2.xlsx,C:\Legacy Files\all_files\For TCS\Ipsos Fenix Raw Data\Monadic\08_DATA_Cleaned_Thai_Sprite Regular_Blind_v2.xlsx,N/A
08_DATA_Cleaned_Thai_Sprite Regular_Branded_v2.xlsx,C:\Legacy Files\all_files\For TCS\Ipsos Fenix Raw Data\Monadic\08_DATA_Cleaned_Thai_Sprite Regular_Branded_v2.xlsx,N/A
08_DATA_Cleaned_Thai_Sprite Zero.xlsx,C:\Legacy Files\all_files\For TCS\Ipsos Fenix Raw Data\Monadic\08_DATA_Cleaned_Thai_Sprite Zero.xlsx,N/A
08_DATA_Cleaned_Turkey_Fanta Zero 2500_v3 with CATUSE1_Type.xlsx,C:\Legacy Files\all_files\For TCS\Ipsos Fenix Raw Data\Monadic\08_DATA_Cleaned_Turkey_Fanta Zero 2500_v3 with CATUSE1_Type.xlsx,N/A
08_DATA_Cleaned_UK_Fanta Regular.xlsx,C:\Legacy Files\all_files\For TCS\Ipsos Fenix Raw Data\Monadic\08_DATA_Cleaned_UK_Fanta Regular.xlsx,N/A
08_DATA_Cleaned_UK_Fanta Zero with extra Cell v2.xlsx,C:\Legacy Files\all_files\For TCS\Ipsos Fenix Raw Data\Monadic\08_DATA_Cleaned_UK_Fanta Zero with extra Cell v2.xlsx,N/A
